City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Pevek,100,RU,1583104579,97,69.7,170.31,254.5,3.86
Harper,70,LR,1583104579,94,4.38,-7.72,299.11,2.16
Port Hardy,90,CA,1583104579,93,50.7,-127.42,277.15,3.1
Nador,78,MA,1583104561,72,35.17,-2.93,290.15,2.6
Torbay,90,CA,1583104579,92,47.67,-52.73,272.04,8.7
Baculin,82,PH,1583104579,95,7.45,126.58,296.14,2.2
Chokurdakh,94,RU,1583104579,94,70.63,147.92,254.93,5.66
Ushuaia,20,AR,1583104525,84,-54.8,-68.3,287.15,5.1
Pisco,40,PE,1583104579,30,-13.7,-76.22,296.48,10.3
Gamba,93,GA,1583104579,90,-2.65,10,298.97,2.21
Cherskiy,34,RU,1583104579,90,68.75,161.3,253.58,3.53
Maraã,100,BR,1583104580,92,-1.83,-65.37,298.05,0.71
Laem Sing,16,TH,1583104580,65,12.48,102.07,300.93,2.16
Kapaa,20,US,1583104470,39,22.08,-159.32,302.15,6.7
Kahului,75,US,1583104580,73,20.89,-156.47,297.15,8.7
Isangel,75,VU,1583104580,74,-19.55,169.27,302.15,4.1
Hilo,90,US,1583104580,73,19.73,-155.09,295.15,8.2
Hong Kong,20,HK,1583104545,77,22.29,114.16,295.37,3.1
Verkhniye Kigi,75,RU,1583104580,94,55.41,58.6,262.48,2.24
Orlik,97,RU,1583104581,100,52.52,99.83,249.03,0.12
Albany,20,US,1583104581,37,42.6,-73.97,274.26,2.1
Ajdabiya,32,LY,1583104581,61,30.76,20.23,290.04,4.11
São Filipe,58,CV,1583104581,67,14.9,-24.5,295.39,9.67
Krasnoborsk,100,RU,1583104581,95,61.56,45.93,271.85,3.98
Halifax,90,CA,1583104525,92,44.65,-63.57,271.48,5.7
Cape Town,5,ZA,1583104228,72,-33.93,18.42,293.15,2.6
High Level,75,CA,1583104581,72,58.52,-117.14,261.15,3.1
Vardø,75,NO,1583104581,92,70.37,31.11,267.15,4.6
Port-Gentil,20,GA,1583104581,88,-0.72,8.78,301.15,3.1
Te Anau,9,NZ,1583104582,55,-45.42,167.72,290.23,1.37
Yellowknife,90,CA,1583104453,70,62.46,-114.35,253.15,6.2
Ust-Nera,34,RU,1583104582,94,64.57,143.2,247.12,0.99
Saint Paul Harbor,90,US,1583104582,69,57.79,-152.41,277.15,4.6
Vanimo,100,PG,1583104582,75,-2.67,141.3,301.54,2.43
Saskylakh,91,RU,1583104582,69,71.92,114.08,261.15,10.77
Sabzawār,17,IR,1583104582,40,36.21,57.68,285.66,3.33
Borogontsy,30,RU,1583104582,97,62.67,131.17,252.12,1.08
Salalah,40,OM,1583104519,78,17.02,54.09,297.15,2.1
Todos Santos,75,MX,1583104582,20,23.45,-110.22,302.04,6.2
Bilibino,97,RU,1583104583,98,68.05,166.44,250.48,0.95
Mount Isa,97,AU,1583104583,69,-20.73,139.5,301.15,2.6
East London,10,ZA,1583104583,83,-33.02,27.91,295.58,6.97
Tecomán,5,MX,1583104583,54,18.92,-103.88,302.15,7.7
Ancud,0,CL,1583104583,52,-41.87,-73.82,293.15,4.6
Jiaojiang,95,CN,1583104583,83,28.68,121.44,284.82,0.89
Bambous Virieux,75,MU,1583104583,100,-20.34,57.76,299.15,1.5
Paris,54,FR,1583104299,93,48.85,2.35,278.71,3.6
Komoro,100,JP,1583104583,99,36.32,138.43,282.04,0.45
Rapid Valley,1,US,1583104584,59,44.06,-103.15,274.82,10.8
Klaksvík,100,FO,1583104584,59,62.23,-6.59,276.15,7.2
Ilulissat,9,GL,1583104584,46,69.22,-51.1,247.15,2.6
Morondava,0,MG,1583104584,75,-20.28,44.28,296.38,1.02
Muncar,61,ID,1583104584,76,-8.43,114.33,299.85,0.53
Punta Arenas,75,CL,1583104584,62,-53.15,-70.92,288.15,8.7
Faanui,92,PF,1583104584,74,-16.48,-151.75,301.76,11.58
Butaritari,100,KI,1583104584,78,3.07,172.79,301.59,9.42
Atar,1,MR,1583104584,12,20.52,-13.05,294.02,3.37
Puerto Nariño,75,CO,1583104506,100,-3.77,-70.38,298.15,2.6
Cayenne,75,GF,1583104386,78,4.93,-52.33,299.15,2.1
Zhuanghe,0,CN,1583104585,53,39.7,122.99,272.61,6.37
Daru,85,PG,1583104585,65,-9.08,143.21,304.5,1.17
Port Alfred,0,ZA,1583104585,93,-33.59,26.89,290.93,5.25
Porto-Novo,40,BJ,1583104585,84,6.5,2.6,303.15,4.6
Viedma,0,AR,1583104585,38,-40.81,-63,299.38,7.82
Yar-Sale,66,RU,1583104585,95,66.83,70.83,268.69,7.96
San Isidro,75,PE,1583104586,73,-12.12,-77.05,298.15,5.7
Castro,92,BR,1583104294,95,-24.79,-50.01,287.75,3.22
Puerto Ayora,40,EC,1583104460,62,-0.74,-90.35,303.15,5.1
Leshukonskoye,87,RU,1583104588,94,64.9,45.76,261.63,2.11
Hirara,75,JP,1583104588,88,24.8,125.28,292.15,6.2
Hambantota,36,LK,1583104588,77,6.12,81.12,298.76,5.97
Ode,96,NG,1583104588,82,7.79,5.71,297.85,5.45
Akureyri,90,IS,1583104589,59,65.68,-18.09,274.15,6.2
Lamu,47,KE,1583104500,85,-2.27,40.9,300.99,4.8
Narsaq,0,GL,1583104589,49,60.92,-46.05,257.15,3.1
Leningradskiy,100,RU,1583104589,81,69.38,178.42,256.67,7.6
Honningsvåg,97,NO,1583104589,73,70.98,25.97,270.08,6.04
Wilmington,1,US,1583104531,45,34.23,-77.94,283.15,4.1
Fairbanks,90,US,1583104400,84,64.84,-147.72,264.15,2.1
Maralal,100,KE,1583104589,65,1.1,36.7,293.58,3.07
Hermanus,18,ZA,1583104589,85,-34.42,19.23,293.71,2.68
Kungurtug,39,RU,1583104589,84,50.6,97.52,249.78,1.46
Khojaly District,100,AZ,1583104589,79,39.91,46.79,279.31,3.21
Sinop Province,0,TR,1583104590,77,41.77,34.87,278.85,5.52
Arlit,0,NE,1583104531,11,18.74,7.39,296.94,6.11
Codrington,0,AU,1583104590,66,-38.27,141.97,286.29,8.72
Palmer,1,US,1583104590,58,42.16,-72.33,274.82,4.6
Katsuura,75,JP,1583104590,93,35.13,140.3,281.48,7.2
Nanortalik,0,GL,1583104590,56,60.14,-45.24,265.58,18.09
Bredasdorp,66,ZA,1583104590,82,-34.53,20.04,293.71,1
Soure,100,BR,1583104590,93,-0.72,-48.52,297.9,2.04
Constitución,41,CL,1583104590,95,-35.33,-72.42,285.44,0.5
Kenai,90,US,1583104590,79,60.55,-151.26,270.93,3.6
New Norfolk,40,AU,1583104591,62,-42.78,147.06,285.93,7.2
Bahir Dar,5,ET,1583104591,28,11.59,37.39,291.64,1.25
Lebu,13,CL,1583104591,97,-37.62,-73.65,286.21,0.6
Yumen,0,CN,1583104591,53,40.28,97.2,269.64,3.06
Noshiro,75,JP,1583104591,100,40.2,140.02,272.15,2.1
Flin Flon,90,CA,1583104591,72,54.77,-101.86,262.15,4.6
Kelowna,40,CA,1583104422,42,49.88,-119.49,282.15,4.1
Cap Malheureux,75,MU,1583104591,100,-19.98,57.61,299.15,1.5
Bodri,65,IN,1583104592,53,23.17,81.43,292.16,1.84
Onega,100,RU,1583104592,95,63.91,38.14,271.12,6.9
Monforte de Lemos,100,ES,1583104592,90,42.52,-7.51,285.37,7.15
Barrow,1,US,1583104592,74,71.29,-156.79,242.15,5.1
Lębork,20,PL,1583104592,86,54.54,17.75,278.15,3.6
Issoire,91,FR,1583104503,75,45.55,3.25,278.15,1
Vestmannaeyjar,100,IS,1583104592,74,63.44,-20.27,277.02,20.13
Aykhal,0,RU,1583104593,91,66,111.5,251.15,2
Bethel,1,US,1583104593,25,41.37,-73.41,278.15,4.1
Dikson,100,RU,1583104593,89,73.51,80.55,265.94,11.95
Frederick,5,US,1583104328,26,39.47,-77.4,283.71,2.1
Airai,100,TL,1583104593,66,-8.93,125.41,298.08,1.1
Kaitangata,2,NZ,1583104593,77,-46.28,169.85,287.06,3.52
Alice Springs,90,AU,1583104489,64,-23.7,133.88,297.15,3.1
Atuona,0,PF,1583104593,75,-9.8,-139.03,301.25,8.01
Port Elizabeth,33,ZA,1583104504,88,-33.92,25.57,292.15,2.1
Heze,94,CN,1583104594,67,35.24,115.44,279.19,2.32
Beloha,2,MG,1583104594,89,-25.17,45.05,292.18,4.97
Cabo San Lucas,40,MX,1583104558,21,22.89,-109.91,302.04,4.1
Sinegor'ye,0,RU,1583104594,65,62.08,150.48,259.77,0.57
Karratha,14,AU,1583104594,83,-20.74,116.85,302.32,4.7
Lerwick,75,GB,1583104594,93,60.15,-1.15,278.15,3.1
Kampot,20,KH,1583104594,83,10.62,104.18,299.15,2.1
South Yuba City,1,US,1583104594,25,39.12,-121.64,291.15,9.3
Taoudenni,0,ML,1583104594,9,22.68,-3.98,296.15,4.1
Sola,75,VU,1583104594,83,-13.88,167.55,302.15,6.27
Avera,1,US,1583104595,36,33.19,-82.53,291.15,1.5
Taltal,3,CL,1583104595,85,-25.4,-70.48,289.97,1.23
Raja,49,SS,1583104595,17,8.46,25.68,293.6,2.12
Christchurch,100,NZ,1583104325,77,-43.53,172.63,293.71,8.7
Carnarvon,0,AU,1583104595,100,-24.87,113.63,298.15,3.1
Pilar,1,BR,1583104468,74,-9.6,-35.96,300.15,4.1
Maniitsoq,0,GL,1583104595,66,65.42,-52.9,255.47,2.8
Oranjemund,33,NA,1583104595,87,-28.55,16.43,292.12,3.08
Lorengau,98,PG,1583104595,78,-2.02,147.27,301.56,3.58
Talara,79,PE,1583104596,100,-4.58,-81.27,290.15,6.2
Sawākin,0,SD,1583104596,70,19.11,37.33,295.49,6.47
Malakal,38,SS,1583104596,10,9.53,31.66,300.18,4.03
Puerto del Rosario,20,ES,1583104596,77,28.5,-13.86,292.15,3.6
Portland,1,US,1583104446,51,45.52,-122.68,282.59,1.2
Vrangel',100,RU,1583104596,75,42.73,133.08,271.56,9.67
Camaná,100,PE,1583104596,84,-16.62,-72.71,293.17,1.82
Dangara,0,IN,1583104596,75,29.68,75.89,288.06,1.35
Sigli,57,ID,1583104596,73,5.38,95.96,301.2,4.48
Ribeira Grande,91,PT,1583104597,93,38.52,-28.7,288.7,5.71
Waingapu,100,ID,1583104597,73,-9.66,120.26,301.91,4.53
Sandviken,100,SE,1583104308,99,60.62,16.77,274.82,2.61
Wajima,8,JP,1583104597,72,37.4,136.9,281,4.42
Glossa,12,GR,1583104597,76,35.47,23.78,284.15,5.1
Paján,100,EC,1583104597,95,-1.57,-80.42,296.18,1.37
Alofi,20,NU,1583104597,70,-19.06,-169.92,303.15,4.6
Kuah,20,MY,1583104597,83,6.33,99.84,300.15,1.5
Aksu,90,CN,1583104597,39,41.12,80.26,277.37,2.44
Souillac,75,MU,1583104597,100,-20.52,57.52,299.15,1.5
Pochutla,40,MX,1583104597,62,15.74,-96.47,303.15,5.1
Gusau,57,NG,1583104598,23,12.16,6.66,295.89,1.43
Lompoc,20,US,1583104598,58,34.64,-120.46,287.59,4.6
Pemberton,90,CA,1583104599,80,50.32,-122.8,274.15,1
Lagunas,69,PE,1583104599,93,-5.23,-75.68,297.78,1.06
San Cristobal,20,VE,1583104599,55,7.77,-72.22,303.15,4.1
Cam Ranh,40,VN,1583104599,83,11.92,109.16,298.15,1
Cidreira,0,BR,1583104599,79,-30.18,-50.21,296.02,10.45
Dubbo,78,AU,1583104599,54,-32.25,148.62,300.15,3.6
Tilichiki,0,RU,1583104599,82,60.47,166.1,255.46,2.71
Tautira,75,PF,1583104599,88,-17.73,-149.15,299.82,7.7
Geraldton,92,AU,1583104599,64,-28.77,114.6,296.15,4.6
Stephenville,1,US,1583104600,49,32.22,-98.2,296.48,3.1
Saint George,75,US,1583104600,23,37.1,-113.58,289.15,9.8
Itapicuru,20,BR,1583104600,78,-11.32,-38.23,297.1,2.79
Marquette,5,US,1583104600,60,46.53,-87.63,278.15,6.2
Kudahuvadhoo,38,MV,1583104600,75,2.67,72.89,300.79,3.09
Lavrentiya,0,RU,1583104600,81,65.58,-171,253.3,2.76
Hithadhoo,94,MV,1583104600,72,-0.6,73.08,301.62,3.61
Aasiaat,80,GL,1583104600,91,68.71,-52.87,246.43,1.71
Camocim,100,BR,1583104600,93,-2.9,-40.84,298.03,1.25
Fortuna,1,US,1583104601,42,40.6,-124.16,286.48,9.3
Beberibe,20,BR,1583104355,78,-4.18,-38.13,301.15,2.1
Nome,1,US,1583104601,50,64.5,-165.41,260.15,6.2
Guerrero Negro,99,MX,1583104601,65,27.98,-114.06,289.71,6.47
Westport,1,US,1583104601,25,41.14,-73.36,279.26,4.1
Hamilton,1,US,1583104530,36,39.18,-84.53,290.15,6.2
Nālūt,1,LY,1583104601,24,30.33,10.85,288.83,4.41
Rong Kwang,24,TH,1583104602,67,18.34,100.32,292.73,0.43
Ariquemes,100,BR,1583104602,99,-9.91,-63.04,295.69,0.97
Mazagão,75,BR,1583104602,100,-0.12,-51.29,299.15,2.6
Surab,0,PK,1583104602,60,28.49,66.26,280.38,2.43
Bantou,80,CN,1583104602,89,26.22,117.49,285.15,1.22
Havelock,1,US,1583104602,48,34.88,-76.9,283.15,2.6
Inírida,95,CO,1583104602,80,3.87,-67.92,298.98,0.41
Ovsyanka,9,RU,1583104602,77,55.96,92.55,255.15,1.08
Biltine,0,TD,1583104602,10,14.53,20.92,297.89,8.54
Hals,83,DK,1583104603,86,57,10.31,277.59,2.68
Taman',40,RU,1583104603,81,45.21,36.72,273.15,2
Hualmay,95,PE,1583104603,70,-11.1,-77.61,296.65,3.3
Naryan-Mar,89,RU,1583104603,94,67.67,53.09,265.14,4.62
Balabac,73,PH,1583104603,70,7.99,117.06,300.57,5.56
Mahébourg,75,MU,1583104603,100,-20.41,57.7,299.15,1.5
Pangai,20,TO,1583104603,74,-19.8,-174.35,303.15,4.1
Barra de Tecoanapa,0,MX,1583104603,57,16.52,-98.75,301.88,3.66
Kaifeng,100,CN,1583104344,93,34.79,114.35,277.15,1
Upernavik,0,GL,1583104603,82,72.79,-56.15,239.97,1.45
Tankhoy,100,RU,1583104604,96,51.55,105.13,262.03,2.57
Coyhaique,0,CL,1583104604,34,-45.58,-72.07,299.15,2.6
Bac Lieu,100,VN,1583104604,81,9.29,105.72,298.7,5.05
Grindavik,75,IS,1583104604,64,63.84,-22.43,276.15,14.4
Kavieng,15,PG,1583104604,67,-2.57,150.8,302.63,0.55
Acapulco de Juárez,5,MX,1583104442,70,16.86,-99.89,303.15,6.2
Mar del Plata,0,AR,1583104394,83,-38,-57.56,299.26,4.1
Jumla,82,NP,1583104604,75,29.27,82.18,270.94,2.04
Noumea,100,NC,1583104581,88,-22.28,166.46,300.37,2.6
Kiryat Gat,75,IL,1583104604,82,31.61,34.76,286.15,2.1
Ambilobe,22,MG,1583104604,89,-13.2,49.05,297.24,3.49
Canary Islands,20,ES,1583104604,68,28,-15.5,292.15,6.2
Bafra,0,TR,1583104605,73,41.57,35.91,274.15,1
Rio Grande,40,BR,1583104605,69,-32.03,-52.1,298.15,5.7
Ballina,2,AU,1583104605,83,-28.87,153.57,299.82,0.5
Santarém,75,BR,1583104395,94,-2.44,-54.71,300.15,1.34
Chui,0,UY,1583104605,81,-33.7,-53.46,293.83,4.92
Carutapera,100,BR,1583104557,79,-1.2,-46.02,300.92,5.94
Esperance,90,AU,1583104607,87,-33.87,121.9,287.15,2.6
Las Margaritas,40,PA,1583104607,48,9.33,-79.89,304.15,6.2
Ketchikan,90,US,1583104607,93,55.34,-131.65,279.15,6.2
Mugur-Aksy,8,RU,1583104607,49,50.35,90.5,259.67,2.07
Ocós,40,GT,1583104607,66,14.51,-92.19,305.15,4.1
Richards Bay,100,ZA,1583104607,72,-28.78,32.04,295.45,8.97
Dixon,75,US,1583104607,43,38.45,-121.82,289.82,6.2
Nyurba,87,RU,1583104608,98,63.28,118.33,249.28,1.49
Polunochnoye,0,RU,1583104608,85,60.87,60.42,265.17,3.39
Grand Gaube,75,MU,1583104608,100,-20.01,57.66,299.15,1.5
Altay,23,CN,1583104608,32,47.87,88.12,265.69,1.73
Americus,1,US,1583104608,39,32.07,-84.23,291.15,1.5
Manggar,98,ID,1583104608,83,-2.88,108.27,300.98,6.32
Namatanai,7,PG,1583104608,72,-3.67,152.43,302.55,1.87
Havre-St-Pierre,1,CA,1583104608,85,50.23,-63.6,261.15,2.1
Arraial do Cabo,100,BR,1583104574,87,-22.97,-42.03,296.7,7.53
Alugan,8,PH,1583104608,76,12.22,125.48,299.38,5.34
Egvekinot,1,RU,1583104608,83,66.32,-179.17,253.23,0.34
Agüimes,20,ES,1583104609,68,27.91,-15.45,292.15,6.2
Anderson,1,US,1583104449,35,34.53,-82.65,289.15,2.6
Izumo,75,JP,1583104609,93,35.37,132.77,276.15,1
Port Hawkesbury,90,CA,1583104609,92,45.62,-61.35,270.93,2.6
Abhā,0,SA,1583104609,71,18.22,42.51,287.15,0.62
Tecpan,40,GT,1583104609,47,14.76,-90.99,300.15,5.1
Ixtapa,5,MX,1583104609,69,20.7,-105.2,300.15,5.1
Norman Wells,75,CA,1583104609,64,65.28,-126.83,255.15,1
Tiksi,55,RU,1583104609,88,71.69,128.87,252.92,6.35
Baghdad,75,IQ,1583104408,71,33.34,44.4,285.15,2.6
Laguna,40,US,1583104610,36,38.42,-121.42,290.37,5.7
Aklavik,75,CA,1583104610,68,68.22,-135.01,247.15,4.1
San Vicente,0,AR,1583104610,54,-26.62,-54.13,293.95,2.96
Luanda,75,AO,1583104610,88,-8.84,13.23,299.15,1
Tuatapere,11,NZ,1583104610,76,-46.13,167.68,290.93,1.34
Ormara,0,PK,1583104610,63,25.21,64.64,296.27,4.03
Kem',100,RU,1583104610,96,64.96,34.58,270.14,3.63
East Angus,1,CA,1583104610,66,45.48,-71.67,263.15,1
Bāglung,21,NP,1583104610,39,28.27,83.59,274.19,4.82
Flinders,96,AU,1583104610,30,-34.58,150.86,307.04,2.1
Monrovia,69,LR,1583104610,88,6.3,-10.8,299.98,2.44
Meulaboh,73,ID,1583104611,85,4.14,96.13,300.74,4.38
Bathsheba,75,BB,1583104611,73,13.22,-59.52,298.15,6.7
Kibi,4,GH,1583104611,84,6.16,-0.55,298.82,1.39
Bambanglipuro,55,ID,1583104611,86,-7.95,110.28,298.21,1.49
Susanville,75,US,1583104611,24,40.42,-120.65,280.15,8.2
Brownsville,20,US,1583104611,57,25.9,-97.5,301.15,9.8
Udachny,10,RU,1583104611,91,66.42,112.4,251.15,2
Sibu,75,MY,1583104611,94,2.3,111.82,298.15,1.5
Kamenka,97,RU,1583104611,80,51.32,42.77,273.15,1.34
Charters Towers,55,AU,1583104611,57,-20.1,146.27,301.36,3.94
Eyl,4,SO,1583104611,80,7.98,49.82,297.91,7.15
Padeş,90,RO,1583104612,70,45.02,22.85,278.59,2.73
Plettenberg Bay,52,ZA,1583104612,87,-34.05,23.37,291.39,2.78
Oranjestad,20,AW,1583104582,62,12.52,-70.03,302.15,9.8
Gizo Government Station,14,SB,1583104612,63,-8.1,156.84,303.99,0.69
Mömbris,75,DE,1583104612,81,50.07,9.17,280.93,8.7
Ulladulla,79,AU,1583104612,30,-35.35,150.47,303.15,2.1
Bandarbeyla,100,SO,1583104612,70,9.49,50.81,298.18,4.65
Mandera,11,KE,1583104612,18,3.94,41.87,296.48,7.93
Belaya Gora,73,RU,1583104613,81,68.53,146.42,253.86,2.03
Russell,40,US,1583104613,32,32.35,-85.2,292.15,2.6
Paamiut,7,GL,1583104613,62,61.99,-49.67,253.24,4.79
Port Lincoln,94,AU,1583104613,66,-34.73,135.87,288.2,9.18
Teeli,8,RU,1583104613,61,51.03,90.23,259.76,0.4
Farafenni,0,GM,1583104613,8,13.57,-15.6,299.46,2.29
Rome,1,US,1583104411,91,43.21,-75.46,274.15,2.6
Kazanskoye,100,RU,1583104613,92,55.64,69.23,271.03,4.45
Pangnirtung,1,CA,1583104613,84,66.15,-65.71,241.53,0.86
Zarubino,100,RU,1583104614,91,42.63,131.09,271.52,6.95
Padang,100,ID,1583104614,85,-0.95,100.35,294.79,2.63
Nosy Varika,35,MG,1583104614,90,-20.58,48.53,295.12,3.59
Qaanaaq,57,GL,1583104614,55,77.48,-69.36,242.68,3.98
Rabo de Peixe,75,PT,1583104614,88,37.8,-25.58,290.15,6.7
Shache,0,CN,1583104614,47,38.42,77.24,277.21,1.03
Kloulklubed,75,PW,1583104614,83,7.04,134.26,299.15,2.1
Juneau,90,US,1583104397,100,58.3,-134.42,277.15,6.2
Banjar,20,ID,1583104614,100,-8.19,114.97,299.15,0.5
Fremont,75,US,1583104489,33,37.55,-121.99,289.15,5.1
Banisilan,62,PH,1583104615,68,7.49,124.72,297.99,2.3
Muhafazat Lahij,35,YE,1583104615,72,13.17,44.58,296.04,2.38
Bentiu,52,SS,1583104615,11,9.23,29.83,298.87,3.39
Brae,70,GB,1583104615,86,60.4,-1.35,278.15,8.7
Tahe,94,CN,1583104615,93,52.33,124.73,261.51,1.02
Dwārka,0,IN,1583104615,75,22.24,68.97,296.54,6.49
Talakan,88,RU,1583104615,93,50.32,130.37,262.36,0.36
Nkowakowa,95,ZA,1583104615,77,-23.89,30.29,289.15,2.1
Batemans Bay,94,AU,1583104615,80,-35.72,150.18,298.15,3.13
Adrar,0,MR,1583104615,10,20.5,-10.07,294.85,4.74
Muroto-misakicho,20,JP,1583104615,93,33.28,134.15,283.15,2.6
Yulara,90,AU,1583104616,83,-25.24,130.99,295.15,2.1
Tshikapa,100,CD,1583104616,93,-6.42,20.8,294.65,0.99
Karaidel',43,RU,1583104616,97,55.83,56.91,261.56,2.29
Mossamedes,0,AO,1583104616,81,-15.2,12.15,296.56,7.97
Yangambi,100,CD,1583104616,88,0.81,24.43,296.02,2.86
Patnos,100,TR,1583104616,94,39.23,42.86,268.67,3.68
Tepalcatepec,0,MX,1583104616,36,19.18,-102.85,300.68,3.68
Hanko,96,FI,1583104616,99,59.83,22.95,277.04,2.68
Kingaroy,40,AU,1583104616,100,-26.53,151.83,301.48,1
Upata,94,VE,1583104617,56,8.01,-62.4,298.48,2.62
Wagar,0,SD,1583104617,50,16.15,36.2,290.57,4.08
Nikel,90,RU,1583104617,92,69.41,30.22,261.15,2.6
Kholodnyy,0,RU,1583104617,73,62.72,147.95,253.31,1.69
Kasane,90,BW,1583104323,91,-17.82,25.15,291.84,2.1
Rawson,60,AR,1583104617,68,-43.3,-65.1,292.88,6.73
Necochea,0,AR,1583104617,61,-38.55,-58.74,298.71,3.13
Barhi,51,IN,1583104617,64,23.9,80.8,291.93,1.69
Bahía Honda,43,CU,1583104617,70,22.9,-83.16,293.8,7.38
Takoradze,7,GH,1583104617,90,4.88,-1.76,299.13,2.02
Baraboo,1,US,1583104617,95,43.47,-89.74,283.15,3.1
Uyuni,52,BO,1583104618,51,-20.46,-66.83,287.7,3.21
Batagay,0,RU,1583104618,84,67.63,134.63,250.13,0.56
Muisne,75,EC,1583104604,88,0.6,-80.03,300.15,2.1
Athabasca,91,CA,1583104618,86,54.72,-113.29,271.8,4.85
Ukiah,1,US,1583104618,15,39.15,-123.21,289.26,4.6
Esmeraldas,75,BR,1583104618,100,-19.76,-44.31,294.15,5.7
Zavyalovo,100,RU,1583104618,86,54.51,82.45,270.15,4
Barreirinha,100,BR,1583104618,95,-2.79,-57.07,298.11,1.04
Yangi Marg`ilon,15,UZ,1583104618,86,40.43,71.72,281.15,2.1
São Francisco,64,BR,1583104619,83,-15.95,-44.86,295.93,1.18
Maricá,90,BR,1583104619,88,-22.92,-42.82,296.15,3.6
Shimoda,100,JP,1583104619,93,34.67,138.95,278.15,2.24
Orapa,100,BW,1583104619,58,-21.28,25.37,293.46,5.93
Jan Kempdorp,100,ZA,1583104619,79,-27.92,24.83,290.09,3.18
Teya,21,RU,1583104619,93,60.38,92.63,258.14,2.82
Iracoubo,90,GF,1583104619,77,5.48,-53.2,299.35,6.29
Hasaki,75,JP,1583104619,87,35.73,140.83,281.15,4.6
Asău,100,RO,1583104619,93,46.43,26.4,277.15,6.2
San Quintín,100,MX,1583104619,68,30.48,-115.95,287.7,5.58
Notre-Dame-du-Lac,1,CA,1583104620,67,47.61,-68.8,266.15,3.6
Helong,100,CN,1583104620,89,42.54,129,266.27,1.23
Parit Buntar,20,MY,1583104620,88,5.13,100.49,300.15,2.1
Ust'-Tarka,100,RU,1583104620,94,55.57,75.7,267.95,3.29
Vazante,98,BR,1583104620,88,-17.99,-46.91,294.28,1.15
San Patricio,5,MX,1583104621,74,19.22,-104.7,302.15,6.2
Norrtälje,20,SE,1583104621,86,59.76,18.7,277.59,4.6
San Jerónimo,91,PE,1583104621,87,-11.95,-75.28,279.78,0.96
Hobyo,16,SO,1583104621,83,5.35,48.53,296.66,4.51
